Tiempo (s),Voltaje (V)
-2.670096149999999865e-06,-3.355490399999999738e-03
-2.669996150000000069e-06,3.627457999999999638e-03
-2.669896149999999850e-06,3.164404799999999841e-03
-2.669796150000000054e-06,-5.731907999999999535e-04
-2.669696149999999835e-06,2.859240799999999711e-03
-2.669596150000000039e-06,-5.559423999999999443e-04
-2.669496149999999820e-06,-1.846918799999999966e-03
-2.669396150000000024e-06,6.819619999999999328e-04
-2.669296149999999805e-06,-3.108705600000000006e-03
-2.669196150000000009e-06,1.373224799999999985e-03
-2.669096149999999790e-06,-8.319167999999999832e-04
-2.668996149999999994e-06,-1.580231999999999991e-03
-2.668896149999999775e-06,-1.657186399999999865e-03
-2.668796149999999979e-06,4.112947999999999843e-04
-2.668696149999999760e-06,2.540808799999999708e-03
-2.668596149999999964e-06,-9.990935999999999307e-04
-2.668496149999999745e-06,8.106616000000000516e-04
-2.668396149999999949e-06,-1.126466399999999932e-03
-2.668296149999999730e-06,-5.706560000000001145e-05
-2.668196149999999934e-06,-4.073408000000000150e-04
-2.668096149999999715e-06,5.267263999999998499e-04
-2.667996149999999919e-06,-1.560329999999999964e-03
-2.667896149999999700e-06,5.293999999999980145e-06
-2.667796149999999904e-06,1.687676400000000070e-03
-2.667696149999999685e-06,-8.332435999999999923e-04
-2.667596149999999889e-06,-2.113605599999999942e-03
-2.667496149999999670e-06,3.476083999999999836e-04
-2.667396149999999874e-06,1.190126400000000037e-03
-2.667296149999999655e-06,-2.205154799999999807e-03
-2.667196149999999859e-06,-2.956123599999999942e-03
-2.667096150000000063e-06,3.606229199999999493e-03
-2.666996149999999844e-06,-1.712911999999999811e-03
-2.666896150000000048e-06,3.799942000000000163e-03
-2.666796149999999829e-06,-5.068508000000000431e-04
-2.666696150000000033e-06,5.308513599999999284e-03
-2.666596149999999814e-06,1.017642399999999945e-03
-2.666496150000000018e-06,1.276368399999999867e-03
-2.666396149999999799e-06,-2.639018400000000056e-03
-2.666296150000000003e-06,4.974159999999999172e-03
-2.666196149999999784e-06,-2.693417199999999668e-03
-2.666096149999999988e-06,1.520499600000000014e-03
-2.665996149999999769e-06,-5.254260000000000614e-04
-2.665896149999999973e-06,1.600107600000000123e-03
-2.665796149999999754e-06,1.240544799999999948e-03
-2.665696149999999958e-06,-3.290596000000000233e-04
-2.665596149999999739e-06,8.358707999999998983e-04
-2.665496149999999943e-06,-1.198113599999999987e-03
-2.665396149999999724e-06,9.619167999999999989e-04
-2.665296149999999928e-06,-3.673922399999999741e-03
-2.665196149999999709e-06,-1.577578399999999973e-03
-2.665096149999999913e-06,-7.363871999999999822e-04
-2.664996149999999694e-06,3.515887999999999024e-04
-2.664896149999999898e-06,-4.643932000000000246e-04
-2.664796149999999679e-06,3.022437199999999848e-03
-2.664696149999999883e-06,-1.479395199999999954e-03
-2.664596149999999664e-06,7.297268000000000417e-04
-2.664496149999999868e-06,1.531113999999999869e-03
-2.664396150000000072e-06,-1.979598799999999787e-03
-2.664296149999999853e-06,-8.876424000000000380e-04
-2.664196150000000057e-06,-7.032171999999999729e-04
-2.664096149999999838e-06,-2.892556000000000229e-04
-2.663996150000000042e-06,2.117559599999999966e-03
-2.663896149999999823e-06,2.666735999999999738e-04
-2.663796150000000027e-06,-1.391826400000000007e-03
-2.663696149999999808e-06,6.222560000000000677e-04
-2.663596150000000012e-06,-1.050838799999999958e-03
-2.663496149999999793e-06,1.536421199999999905e-03
-2.663396149999999997e-06,-1.638611199999999955e-03
-2.663296149999999778e-06,-1.109217999999999923e-03
-2.663196149999999982e-06,-6.116679999999999990e-04
-2.663096149999999763e-06,-1.539220000000000215e-04
-2.662996149999999967e-06,4.058667999999999651e-03
-2.662896149999999748e-06,-4.800375600000000159e-03
-2.662796149999999952e-06,4.105105999999998992e-03
-2.662696149999999733e-06,2.292697199999999859e-03
-2.662596149999999937e-06,-1.114644000000000030e-04
-2.662496149999999718e-06,2.986613599999999712e-03
-2.662396149999999922e-06,1.263100399999999993e-03
-2.662296149999999703e-06,-1.539220000000000215e-04
-2.662196149999999907e-06,4.946297199999999741e-03
-2.662096149999999688e-06,-1.287128000000000122e-04
-2.661996149999999892e-06,3.527947999999999935e-03
-2.661896149999999673e-06,-2.826097199999999705e-03
-2.661796149999999877e-06,5.797983999999999950e-04
-2.661696149999999658e-06,5.559160000000000490e-04
-2.661596149999999862e-06,3.103372000000000075e-03
-2.661496150000000066e-06,-2.149548000000000311e-04
-2.661396149999999847e-06,2.317906399999999922e-03
-2.661296150000000051e-06,-2.642998799999999975e-03
-2.661196149999999832e-06,3.241359199999999715e-03
-2.661096150000000036e-06,1.585512800000000132e-03
-2.660996149999999817e-06,1.984879599999999928e-03
-2.660896150000000021e-06,1.761977200000000143e-03
-2.660796149999999802e-06,-9.446947999999998850e-04
-2.660696150000000006e-06,-3.071555199999999753e-03
-2.660596149999999787e-06,2.856587199999999910e-03
-2.660496149999999991e-06,7.827987999999999700e-04
-2.660396149999999772e-06,3.011703999999999922e-04
-2.660296149999999976e-06,2.240952000000000048e-03
-2.660196149999999757e-06,-1.525952000000000124e-04
-2.660096149999999961e-06,-5.463775599999999913e-03
-2.659996149999999742e-06,-1.302930799999999943e-03
-2.659896149999999946e-06,-9.128515999999998846e-04
-2.659796149999999727e-06,3.927195999999999660e-04
-2.659696149999999931e-06,1.592027999999999998e-04
-2.659596149999999712e-06,3.847587999999999117e-04
-2.659496149999999916e-06,2.860567599999999829e-03
-2.659396149999999697e-06,-1.130446800000000068e-03
-2.659296149999999901e-06,-7.947664000000000551e-04
-2.659196149999999681e-06,-8.770279999999999656e-04
-2.659096149999999886e-06,8.517924000000000068e-04
-2.658996149999999666e-06,-3.527974399999999830e-03
-2.658896149999999871e-06,4.391575999999999575e-04
-2.658796150000000075e-06,-8.625520000000004789e-05
-2.658696149999999856e-06,1.926500399999999964e-03
-2.658596150000000060e-06,-4.752610800000000267e-03
-2.658496149999999841e-06,2.413435999999999707e-03
-2.658396150000000045e-06,-2.635037999999999703e-03
-2.658296149999999826e-06,-2.972164000000000229e-04
-2.658196150000000030e-06,3.895471599999999947e-03
-2.658096149999999811e-06,2.234317999999999894e-03
-2.657996150000000015e-06,1.062753600000000036e-03
-2.657896149999999796e-06,1.252485999999999921e-03
-2.657796150000000000e-06,1.417009199999999958e-03
-2.657696149999999781e-06,8.106616000000000516e-04
-2.657596149999999985e-06,2.640399999999962048e-06
-2.657496149999999766e-06,-1.646572000000000010e-03
-2.657396149999999970e-06,2.591227199999999835e-03
-2.657296149999999751e-06,-8.982567999999998935e-04
-2.657196149999999955e-06,-1.393153199999999908e-03
-2.657096149999999735e-06,4.207269599999999797e-03
-2.656996149999999940e-06,2.298004399999999895e-03
-2.656896149999999720e-06,-7.788447999999999465e-04
-2.656796149999999925e-06,5.546010799999999061e-03
-2.656696149999999705e-06,-2.577985599999999856e-03
-2.656596149999999910e-06,-4.020217199999999609e-03
-2.656496149999999690e-06,-1.182191999999999878e-03
-2.656396149999999895e-06,1.090616399999999901e-03
-2.656296149999999675e-06,-2.434691199999999747e-03
-2.656196149999999880e-06,1.738094799999999763e-03
-2.656096149999999660e-06,5.771447999999999769e-04
-2.655996149999999865e-06,7.561439999999997183e-05
-2.655896150000000069e-06,-2.628403999999999983e-03
-2.655796149999999850e-06,-1.552488000000000305e-04
-2.655696150000000054e-06,9.181324000000000256e-04
-2.655596149999999835e-06,-5.699946000000000006e-03
-2.655496150000000039e-06,4.314740399999999337e-03
-2.655396149999999820e-06,5.020597999999999381e-03
-2.655296150000000024e-06,-9.155051999999999027e-04
-2.655196149999999804e-06,-7.576160000000000186e-04
-2.655096150000000009e-06,-3.184333199999999763e-03
-2.654996149999999789e-06,5.969279999999997166e-05
-2.654896149999999994e-06,-1.597480400000000000e-03
-2.654796149999999774e-06,-3.669941999999999822e-03
-2.654696149999999979e-06,4.219091999999999482e-04
-2.654596149999999759e-06,-2.493070399999999711e-03
-2.654496149999999964e-06,4.577327999999999757e-04
-2.654396149999999744e-06,-6.050339999999999538e-04
-2.654296149999999949e-06,-2.007461600000000086e-03
-2.654196149999999729e-06,1.472734799999999905e-03
-2.654096149999999934e-06,2.519579999999999997e-03
-2.653996149999999714e-06,-2.087069600000000195e-03
-2.653896149999999919e-06,2.438645199999999770e-03
-2.653796149999999699e-06,-7.018904000000000722e-04
-2.653696149999999904e-06,1.658367999999999366e-04
-2.653596149999999684e-06,-1.474087999999999917e-03
-2.653496149999999889e-06,-1.621362799999999946e-03
-2.653396149999999669e-06,9.380344000000000529e-04
-2.653296149999999874e-06,4.909027999999999309e-04
-2.653196150000000078e-06,1.308211599999999867e-03
-2.653096149999999858e-06,-8.332435999999999923e-04
-2.652996150000000063e-06,-2.125546800000000132e-03
-2.652896149999999843e-06,3.529155999999999114e-04
-2.652796150000000048e-06,-2.746608000000000317e-04
-2.652696149999999828e-06,-6.900680000000003868e-05
-2.652596150000000033e-06,-4.630664000000000156e-04
-2.652496149999999813e-06,-1.483375599999999872e-03
-2.652396150000000018e-06,-7.735376000000000188e-04
-2.652296149999999798e-06,3.807902800000000001e-03
-2.652196150000000003e-06,-4.949095999999999617e-04
-2.652096149999999783e-06,-5.199742400000000389e-03
-2.651996149999999988e-06,3.814536800000000154e-03
-2.651896149999999768e-06,1.210028400000000065e-03
-2.651796149999999973e-06,-1.240571200000000060e-03
-2.651696149999999753e-06,1.049485599999999946e-03
-2.651596149999999958e-06,8.624068000000000792e-04
-2.651496149999999738e-06,-4.841506399999999898e-03
-2.651396149999999943e-06,2.059180400000000001e-03
-2.651296149999999723e-06,8.557727999999999256e-04
-2.651196149999999927e-06,3.010496000000000092e-03
-2.651096149999999708e-06,1.094596800000000036e-03
-2.650996149999999912e-06,-2.300684400000000025e-03
-2.650896149999999693e-06,1.138381200000000010e-03
-2.650796149999999897e-06,-2.057880000000000213e-03
-2.650696149999999678e-06,-2.353756399999999954e-03
-2.650596149999999882e-06,1.273595999999999995e-04
-2.650496149999999663e-06,-1.631977199999999802e-03
-2.650396149999999867e-06,-2.274148399999999844e-03
-2.650296150000000072e-06,6.341972000000000408e-04
-2.650196149999999852e-06,2.082944000000000093e-04
-2.650096150000000057e-06,-1.133100400000000086e-03
-2.649996149999999837e-06,4.134295599999999841e-03
-2.649896150000000042e-06,3.847587999999999117e-04
-2.649796149999999822e-06,-1.220669200000000032e-03
-2.649696150000000027e-06,-8.492840000000003884e-05
-2.649596149999999807e-06,3.579693199999999745e-03
-2.649496150000000012e-06,-1.101257200000000085e-03
-2.649396149999999792e-06,-2.385599599999999737e-03
-2.649296149999999997e-06,-1.573597999999999837e-03
-2.649196149999999777e-06,-5.652300000000000076e-04
-2.649096149999999981e-06,2.316579599999999805e-03
-2.648996149999999762e-06,1.681042399999999916e-03
-2.648896149999999966e-06,-1.718219199999999848e-03
-2.648796149999999747e-06,1.414355599999999940e-03
-2.648696149999999951e-06,-4.773839600000000412e-03
-2.648596149999999732e-06,-4.444911999999999973e-04
-2.648496149999999936e-06,1.253812800000000038e-03
-2.648396149999999717e-06,-1.123812799999999914e-03
-2.648296149999999921e-06,-1.391826400000000007e-03
-2.648196149999999702e-06,1.792493599999999809e-03
-2.648096149999999906e-06,2.044585600000000010e-03
-2.647996149999999687e-06,-2.295496000000000222e-04
-2.647896149999999891e-06,2.872508800000000018e-03
-2.647796149999999672e-06,-1.512684000000000034e-04
-2.647696149999999876e-06,-2.666800000000019936e-06
-2.647596149999999657e-06,-3.152489999999999980e-03
-2.647496149999999861e-06,-1.565756000000000125e-04
-2.647396150000000066e-06,1.913232400000000090e-03
-2.647296149999999846e-06,-1.413055199999999935e-03
-2.647196150000000050e-06,2.891083999999999928e-03
-2.647096149999999831e-06,1.272387999999999948e-03
-2.646996150000000035e-06,-1.212708399999999978e-03
-2.646896149999999816e-06,-6.196287999999999449e-04
-2.646796150000000020e-06,-3.675368000000000146e-04
-2.646696149999999801e-06,-1.939794799999999949e-03
-2.646596150000000005e-06,-3.663307999999999669e-03
-2.646496149999999786e-06,1.354649599999999858e-03
-2.646396149999999990e-06,-1.127912000000000120e-04
-2.646296149999999771e-06,-1.325486399999999988e-03
-2.646196149999999975e-06,3.732275199999999810e-03
-2.646096149999999756e-06,4.509799999999998055e-05
-2.645996149999999960e-06,-3.035731600000000051e-03
-2.645896149999999741e-06,-2.076455200000000122e-03
-2.645796149999999945e-06,1.681042399999999916e-03
-2.645696149999999726e-06,-2.895090799999999742e-03
-2.645596149999999930e-06,1.684903999999999547e-04
-2.645496149999999711e-06,1.755343199999999989e-03
-2.645396149999999915e-06,-2.313952399999999899e-03
-2.645296149999999696e-06,2.234317999999999894e-03
-2.645196149999999900e-06,-1.097276799999999950e-03
-2.645096149999999681e-06,-2.129527200000000051e-03
-2.644996149999999885e-06,-3.037058399999999735e-03
-2.644896149999999666e-06,1.744728799999999917e-03
-2.644796149999999870e-06,2.315252800000000121e-03
-2.644696150000000074e-06,-2.737201600000000075e-03
-2.644596149999999855e-06,-1.334773999999999943e-03
-2.644496150000000059e-06,4.776347999999998946e-04
-2.644396149999999840e-06,1.610721999999999762e-03
-2.644296150000000044e-06,-8.080343999999999288e-04
-2.644196149999999825e-06,-1.095950000000000049e-03
-2.644096150000000029e-06,-7.204655999999999821e-04
-2.643996149999999810e-06,-2.823443599999999904e-03
-2.643896150000000014e-06,1.146342000000000064e-03
-2.643796149999999795e-06,-1.767310799999999857e-03
-2.643696149999999999e-06,-2.853960000000000004e-03
-2.643596149999999780e-06,1.671754799999999961e-03
-2.643496149999999984e-06,4.562851999999999186e-03
-2.643396149999999765e-06,-4.391840000000000153e-04
-2.643296149999999969e-06,-8.319167999999999832e-04
-2.643196149999999750e-06,2.101637999999999857e-03
-2.643096149999999954e-06,-2.698724399999999704e-03
-2.642996149999999735e-06,4.044073199999999660e-03
-2.642896149999999939e-06,1.024276399999999882e-03
-2.642796149999999720e-06,1.260327999999999904e-04
-2.642696149999999924e-06,2.179919199999999849e-03
-2.642596149999999705e-06,-1.643918399999999991e-03
-2.642496149999999909e-06,-6.952564000000000270e-04
-2.642396149999999690e-06,-3.237523999999999871e-04
-2.642296149999999894e-06,-1.625343199999999865e-03
-2.642196149999999675e-06,2.709312399999999881e-03
-2.642096149999999879e-06,1.936995999999999098e-04
-2.641996149999999660e-06,4.948831999999998496e-04
-2.641896149999999864e-06,-7.164852000000000633e-04
-2.641796150000000068e-06,8.690408000000000160e-04
-2.641696149999999849e-06,-1.141061199999999923e-03
-2.641596150000000053e-06,1.925173599999999846e-03
-2.641496149999999834e-06,-6.768000000000002963e-05
-2.641396150000000038e-06,-3.847852000000000238e-04
-2.641296149999999819e-06,2.020703200000000064e-03
-2.641196150000000023e-06,-4.113212000000000422e-04
-2.641096149999999804e-06,-3.271901999999999710e-03
-2.640996150000000008e-06,-3.517359999999999758e-03
-2.640896149999999789e-06,-8.611064000000000739e-04
-2.640796149999999993e-06,-4.332015199999999892e-03
-2.640696149999999774e-06,2.144095600000000146e-03
-2.640596149999999978e-06,-1.778044000000000217e-04
-2.640496149999999759e-06,4.391694799999999212e-03
-2.640396149999999963e-06,-2.148102399999999960e-03
-2.640296149999999744e-06,-8.531456000000000196e-04
-2.640196149999999948e-06,-1.143714799999999941e-03
-2.640096149999999729e-06,2.167978000000000093e-03
-2.639996149999999933e-06,1.942422000000000072e-03
-2.639896149999999714e-06,-1.145041600000000059e-03
-2.639796149999999918e-06,4.345256799999999003e-03
-2.639696149999999699e-06,-2.291396800000000070e-03
-2.639596149999999903e-06,-8.358972000000000104e-04
-2.639496149999999684e-06,-2.236998000000000025e-03
-2.639396149999999888e-06,4.322701199999999175e-03
-2.639296149999999669e-06,1.707578400000000097e-03
-2.639196149999999873e-06,-3.181679599999999962e-03
-2.639096149999999654e-06,3.334235199999999698e-03
-2.638996149999999858e-06,-1.878761999999999967e-03
-2.638896150000000062e-06,-7.509819999999999733e-04
-2.638796149999999843e-06,2.096211999999999099e-04
-2.638696150000000047e-06,1.984879599999999928e-03
-2.638596149999999828e-06,-2.355083200000000071e-03
-2.638496150000000032e-06,-8.195656799999999353e-03
-2.638396149999999813e-06,2.388108000000000006e-04
-2.638296150000000017e-06,-2.909685599999999733e-03
-2.638196149999999798e-06,2.707985599999999764e-03
-2.638096150000000002e-06,-2.319259599999999935e-03
-2.637996149999999783e-06,-1.381211999999999935e-03
-2.637896149999999987e-06,6.182755999999999322e-04
-2.637796149999999768e-06,-1.446225199999999836e-03
-2.637696149999999972e-06,1.848219199999999972e-03
-2.637596149999999753e-06,-6.222823999999999630e-04
-2.637496149999999957e-06,-1.214035199999999879e-03
-2.637396149999999738e-06,1.199413999999999992e-03
-2.637296149999999942e-06,3.951197199999999243e-03
-2.637196149999999723e-06,-8.305899999999999742e-04
-2.637096149999999927e-06,-2.972045200000000050e-03
-2.636996149999999708e-06,-7.431400000000002067e-05
-2.636896149999999912e-06,2.465181199999999951e-03
-2.636796149999999693e-06,-2.400194399999999728e-03
-2.636696149999999897e-06,9.818188000000000262e-04
-2.636596149999999678e-06,5.267263999999998499e-04
-2.636496149999999882e-06,2.635011599999999808e-03
-2.636396149999999663e-06,1.399760799999999949e-03
-2.636296149999999867e-06,-7.921128000000000370e-04
-2.636196150000000071e-06,-7.350603999999999732e-04
-2.636096149999999852e-06,5.280531999999999674e-04
-2.635996150000000056e-06,-2.037978000000000185e-03
-2.635896149999999837e-06,-1.604114399999999937e-03
-2.635796150000000041e-06,4.962099999999999671e-04
-2.635696149999999822e-06,-4.139748000000000061e-04
-2.635596150000000026e-06,9.831455999999999269e-04
-2.635496149999999807e-06,-6.395307999999999722e-04
-2.635396150000000011e-06,4.373119599999999302e-03
-2.635296149999999792e-06,-1.719545999999999965e-03
-2.635196149999999996e-06,4.457916000000000027e-04
-2.635096149999999777e-06,1.184819200000000001e-03
-2.634996149999999981e-06,-1.410401599999999917e-03
-2.634896149999999762e-06,-3.014502799999999906e-03
-2.634796149999999966e-06,-5.068508000000000431e-04
-2.634696149999999747e-06,3.887510800000000110e-03
-2.634596149999999951e-06,3.837092399999999983e-03
-2.634496149999999732e-06,3.265241600000000095e-03
-2.634396149999999936e-06,-2.371004799999999746e-03
-2.634296149999999717e-06,-2.175965199999999825e-03
-2.634196149999999921e-06,1.881389199999999873e-03
-2.634096149999999702e-06,2.309945600000000085e-03
-2.633996149999999906e-06,-3.184333199999999763e-03
-2.633896149999999687e-06,1.207255999999999542e-04
-2.633796149999999891e-06,1.257793199999999957e-03
-2.633696149999999672e-06,-2.341815200000000197e-03
-2.633596149999999876e-06,2.613782800000000097e-03
-2.633496149999999656e-06,2.658893999999999754e-03
-2.633396149999999861e-06,-2.406828399999999882e-03
-2.633296150000000065e-06,1.385165999999999958e-03
-2.633196149999999846e-06,8.982303999999999983e-04
-2.633096150000000050e-06,-1.018995599999999958e-03
-2.632996149999999831e-06,9.260932000000000799e-04
-2.632896150000000035e-06,1.837604799999999899e-03
-2.632796149999999816e-06,-4.910480000000001137e-05
-2.632696150000000020e-06,-4.379760000000002939e-05
-2.632596149999999801e-06,2.796881199999999828e-03
-2.632496150000000005e-06,2.400167999999999833e-03
-2.632396149999999786e-06,-3.940609200000000367e-03
-2.632296149999999990e-06,1.127766799999999937e-03
-2.632196149999999771e-06,-8.252827999999999380e-04
-2.632096149999999975e-06,-2.625750399999999748e-03
-2.631996149999999756e-06,-1.539101199999999819e-03
-2.631896149999999960e-06,1.414355599999999940e-03
-2.631796149999999741e-06,3.474876000000000006e-03
